month,rank,ticker,name,sector,entry_date,score,revenue_growth,price_location,loss_margin_improving,buy_price,six_month_date,six_month_return,one_year_return,two_year_max
2023-06,1,7235.T,東京ラヂエーター製造,輸送用機器,2023-06-01,195,17.8,0.079,True,507.0,2023-12-01,23.7,51.5,102.2
2023-06,2,3571.T,ソトー,繊維製品,2023-06-01,185,30.9,0.111,True,714.0,2023-12-01,-1.5,1.3,15.8
2023-06,3,7291.T,日本プラスト,輸送用機器,2023-06-01,175,19.5,0.062,True,417.0,2023-12-01,38.1,6.0,48.9
2023-06,4,5721.T,エス・サイエンス,非鉄金属,2023-06-01,165,17.7,0.043,True,23.0,2023-12-01,-4.3,4.3,460.9
2023-06,5,7256.T,河西工業,輸送用機器,2023-06-01,165,19.0,0.083,True,151.0,2023-12-01,49.7,35.8,147.7
2023-07,1,7256.T,河西工業,輸送用機器,2023-07-01,165,19.0,0.098,True,154.0,2024-01-01,24.5,29.9,142.9
2023-07,2,7235.T,東京ラヂエーター製造,輸送用機器,2023-07-01,155,17.8,0.176,True,534.0,2024-01-01,30.0,40.3,91.9
2023-07,3,5721.T,エス・サイエンス,非鉄金属,2023-07-01,145,17.7,0.13,True,25.0,2024-01-01,-12.5,-12.0,1588.0
2023-07,4,7291.T,日本プラスト,輸送用機器,2023-07-01,135,19.5,0.153,True,444.0,2024-01-01,18.8,-0.7,39.9
2023-08,1,5721.T,エス・サイエンス,非鉄金属,2023-08-01,165,17.7,0.087,True,24.0,2024-02-01,-8.3,12.5,1658.3
2023-08,2,3571.T,ソトー,繊維製品,2023-08-01,145,30.9,0.318,True,755.0,2024-02-01,-8.7,-5.6,11.0
2023-08,3,7235.T,東京ラヂエーター製造,輸送用機器,2023-08-01,135,17.8,0.344,True,581.0,2024-02-01,24.4,26.9,76.4
2023-08,4,7291.T,日本プラスト,輸送用機器,2023-08-01,115,19.5,0.208,True,462.0,2024-02-01,22.1,-10.6,34.4
2023-09,1,5721.T,エス・サイエンス,非鉄金属,2023-09-01,165,17.7,0.087,True,24.0,2024-03-01,-4.2,-4.2,1658.3
2023-09,2,3571.T,ソトー,繊維製品,2023-09-01,145,30.9,0.46,True,783.0,2024-03-01,-11.5,-10.7,7.0
2023-09,3,7235.T,東京ラヂエーター製造,輸送用機器,2023-09-01,135,17.8,0.272,True,561.0,2024-03-01,44.9,30.7,118.2
2023-09,4,7291.T,日本プラスト,輸送用機器,2023-09-01,115,19.5,0.261,True,473.0,2024-03-01,23.7,-16.7,31.3
2023-10,1,5721.T,エス・サイエンス,非鉄金属,2023-10-01,165,17.7,0.043,True,23.0,2024-04-01,4.3,0,1734.8
2023-10,2,3571.T,ソトー,繊維製品,2023-10-01,145,30.9,0.333,True,758.0,2024-04-01,-6.2,-8.7,10.6
2023-10,3,7291.T,日本プラスト,輸送用機器,2023-10-01,115,19.5,0.363,True,491.0,2024-04-01,10.7,-25.7,26.5
2023-11,1,3571.T,ソトー,繊維製品,2023-11-01,205,30.9,0.094,True,706.0,2024-05-01,-1.8,-9.9,18.7
2023-11,2,5721.T,エス・サイエンス,非鉄金属,2023-11-01,165,17.7,0.0,True,22.0,2024-05-01,0.0,0,1818.2
2023-11,3,7235.T,東京ラヂエーター製造,輸送用機器,2023-11-01,135,17.8,0.38,True,591.0,2024-05-01,24.0,19.6,129.9
2023-11,4,7291.T,日本プラスト,輸送用機器,2023-11-01,115,19.5,0.23,True,451.0,2024-05-01,11.3,-20.6,37.7
2023-12,1,3571.T,ソトー,繊維製品,2023-12-01,205,30.9,0.079,True,703.0,2024-06-01,2.0,-3.6,19.2
2023-12,2,4978.T,リプロセル,化学,2023-12-01,165,32.2,0.072,True,202.0,2024-06-01,-35.1,-43.6,37.1
2023-12,3,5721.T,エス・サイエンス,非鉄金属,2023-12-01,165,17.7,0.042,True,22.0,2024-06-01,9.1,0,1818.2
2024-01,1,3571.T,ソトー,繊維製品,2024-01-01,205,30.9,0.029,True,690.0,2024-07-01,4.7,-3.0,21.4
2024-01,2,4978.T,リプロセル,化学,2024-01-01,165,32.2,0.071,True,175.0,2024-07-01,-22.0,-40.6,58.3
2024-01,3,5721.T,エス・サイエンス,非鉄金属,2024-01-01,165,17.7,0.04,True,21.0,2024-07-01,4.8,0,1909.5
2024-02,1,3571.T,ソトー,繊維製品,2024-02-01,205,30.9,0.029,True,689.0,2024-08-01,3.0,-1.2,21.6
2024-02,2,4978.T,リプロセル,化学,2024-02-01,165,32.2,0.038,True,168.0,2024-08-01,-20.8,-33.9,64.9
2024-02,3,5721.T,エス・サイエンス,非鉄金属,2024-02-01,165,17.7,0.08,True,22.0,2024-08-01,40.9,-4.5,1818.2
2024-03,1,3571.T,ソトー,繊維製品,2024-03-01,205,30.9,0.048,True,693.0,2024-09-01,1.2,0,20.9
2024-03,2,4978.T,リプロセル,化学,2024-03-01,165,32.2,0.07,True,170.0,2024-09-01,-18.2,1.2,62.9
2024-03,3,5721.T,エス・サイエンス,非鉄金属,2024-03-01,145,17.7,0.12,True,23.0,2024-09-01,0.0,8.7,1734.8
2024-04,1,4978.T,リプロセル,化学,2024-04-01,165,32.2,0.019,True,159.0,2024-10-01,-21.4,-8.8,74.2
2024-04,2,3571.T,ソトー,繊維製品,2024-04-01,145,30.9,0.136,True,710.0,2024-10-01,-2.0,-4.1,18.0
2024-05,1,3571.T,ソトー,繊維製品,2024-05-01,205,30.9,0.051,True,693.0,2024-11-01,-7.6,-4.5,20.9
2024-05,2,4978.T,リプロセル,化学,2024-05-01,165,32.2,0.03,True,142.0,2024-11-01,-24.6,3.5,95.1
2024-05,3,5852.T,アーレスティ,非鉄金属,2024-05-01,135,21.2,0.494,True,626.0,2024-11-01,-12.8,4.0,54.6
2024-05,4,5721.T,エス・サイエンス,非鉄金属,2024-05-01,125,17.7,0.167,True,22.0,2024-11-01,0.0,209.1,1818.2
2024-05,5,7291.T,日本プラスト,輸送用機器,2024-05-01,115,19.5,0.491,True,502.0,2024-11-01,-29.1,-37.1,1.2
2024-06,1,7215.T,ファルテック,輸送用機器,2024-06-01,160,10.5,0.211,True,559.0,2024-12-01,-22.6,-35.8,1.6
2024-06,2,7256.T,河西工業,輸送用機器,2024-06-01,135,22.1,0.354,True,205.0,2024-12-01,-42.7,-53.2,158.5
2024-06,3,3409.T,北紡,繊維製品,2024-06-01,115,10.2,0.333,True,96.0,2024-12-01,-13.4,88.5,205.2
2024-07,1,7215.T,ファルテック,輸送用機器,2024-07-01,180,10.5,0.177,True,553.0,2025-01-01,-22.8,-36.2,2.7
2024-07,2,7256.T,河西工業,輸送用機器,2024-07-01,135,22.1,0.35,True,204.0,2025-01-01,-39.2,-53.4,159.8
2024-07,3,3409.T,北紡,繊維製品,2024-07-01,115,10.2,0.417,True,101.0,2025-01-01,7.9,133.7,190.1
2024-08,1,7215.T,ファルテック,輸送用機器,2024-08-01,220,10.5,0.006,True,521.0,2025-02-01,-20.5,-24.8,-0.4
2024-08,2,7256.T,河西工業,輸送用機器,2024-08-01,135,22.1,0.291,True,191.0,2025-02-01,-44.5,-42.9,177.5
2024-08,3,7266.T,今仙電機製作所,輸送用機器,2024-08-01,125,0.0,0.188,True,595.0,2025-02-01,-8.9,24.4,81.5
2024-08,4,3409.T,北紡,繊維製品,2024-08-01,115,10.2,0.217,True,89.0,2025-02-01,18.0,164.0,229.2
2024-09,1,7215.T,ファルテック,輸送用機器,2024-09-01,220,10.5,0.07,True,472.0,2025-03-01,-3.8,-18.4,8.1
2024-09,2,7256.T,河西工業,輸送用機器,2024-09-01,155,22.1,0.184,True,167.0,2025-03-01,-33.1,-35.9,217.4
2024-09,3,3409.T,北紡,繊維製品,2024-09-01,115,10.2,0.309,True,89.0,2025-03-01,30.7,141.6,229.2
2024-10,1,7215.T,ファルテック,輸送用機器,2024-10-01,220,10.5,0.05,True,467.0,2025-04-01,-7.9,-22.5,9.2
2024-10,2,7256.T,河西工業,輸送用機器,2024-10-01,155,22.1,0.17,True,164.0,2025-04-01,-37.8,-48.8,223.2
2024-10,3,7266.T,今仙電機製作所,輸送用機器,2024-10-01,125,0.0,0.14,True,555.0,2025-04-01,15.7,31.5,94.6
2024-10,4,3409.T,北紡,繊維製品,2024-10-01,115,10.2,0.221,True,83.0,2025-04-01,114.5,102.4,253.0
2024-11,1,7215.T,ファルテック,輸送用機器,2024-11-01,220,10.5,0.022,True,434.0,2025-05-01,-15.7,-15.2,17.5
2024-11,2,7256.T,河西工業,輸送用機器,2024-11-01,175,22.1,0.126,True,154.0,2025-05-01,-43.5,-12.3,244.2
2024-11,3,7266.T,今仙電機製作所,輸送用機器,2024-11-01,145,0.0,0.049,True,523.0,2025-05-01,19.7,48.9,106.5
2024-11,4,3409.T,北紡,繊維製品,2024-11-01,135,10.2,0.162,True,79.0,2025-05-01,131.6,89.9,270.9
2024-12,1,7215.T,ファルテック,輸送用機器,2024-12-01,220,10.5,0.026,True,430.0,2025-06-01,-14.8,-16.0,18.6
2024-12,2,7256.T,河西工業,輸送用機器,2024-12-01,195,22.1,0.0,True,120.0,2025-06-01,-20.3,-2.5,341.7
2024-12,3,7266.T,今仙電機製作所,輸送用機器,2024-12-01,145,0.0,0.025,True,504.0,2025-06-01,36.9,62.3,114.3
2024-12,4,3409.T,北紡,繊維製品,2024-12-01,115,10.2,0.206,True,82.0,2025-06-01,113.1,61.0,257.3
2025-01,1,7215.T,ファルテック,輸送用機器,2025-01-01,220,10.5,0.077,True,433.0,2025-07-01,-17.3,-17.1,17.8
2025-01,2,7256.T,河西工業,輸送用機器,2025-01-01,195,22.1,0.062,True,123.0,2025-07-01,-23.4,7.3,330.9
2025-02,1,7215.T,ファルテック,輸送用機器,2025-02-01,220,10.5,0.037,True,411.0,2025-08-01,-5.3,-6.6,24.1
2025-02,2,7256.T,河西工業,輸送用機器,2025-02-01,195,22.1,0.008,True,109.0,2025-08-01,2.8,45.0,386.2
2025-02,3,5341.T,ＡＳＡＨＩ　ＥＩＴＯホールディングス,ガラス・土石製品,2025-02-01,130,12.8,0.267,True,437.0,2025-08-01,-22.8,-52.9,5.7
2025-02,4,7266.T,今仙電機製作所,輸送用機器,2025-02-01,125,0.0,0.145,True,542.0,2025-08-01,36.5,63.8,99.3
2025-02,5,3409.T,北紡,繊維製品,2025-02-01,115,10.2,0.471,True,100.0,2025-08-01,123.8,45.0,193.0
2025-03,1,7256.T,河西工業,輸送用機器,2025-03-01,195,22.1,0.021,True,111.0,2025-09-01,-3.6,182.9,377.5
2025-03,2,7215.T,ファルテック,輸送用機器,2025-03-01,180,10.5,0.178,True,453.0,2025-09-01,-15.2,-11.0,1.5
2025-03,3,5341.T,ＡＳＡＨＩ　ＥＩＴＯホールディングス,ガラス・土石製品,2025-03-01,130,12.8,0.279,True,443.0,2025-09-01,-15.6,-52.6,4.3
2025-04,1,7215.T,ファルテック,輸送用機器,2025-04-01,200,10.5,0.101,True,430.0,2025-10-01,-15.8,-15.6,7.0
2025-04,2,7256.T,河西工業,輸送用機器,2025-04-01,195,22.1,0.008,True,102.0,2025-10-01,-17.6,157.8,419.6
2025-04,3,5341.T,ＡＳＡＨＩ　ＥＩＴＯホールディングス,ガラス・土石製品,2025-04-01,130,12.8,0.227,True,416.0,2025-10-01,-17.8,-58.9,11.1
2025-05,1,7215.T,ファルテック,輸送用機器,2025-05-01,200,10.5,0.138,True,366.0,2025-11-01,0.8,3.3,25.7
2025-05,2,7256.T,河西工業,輸送用機器,2025-05-01,195,22.1,0.04,True,87.0,2025-11-01,49.4,296.6,509.2
