month,label,snapshot_date,rank,ticker,name,sector,action,score,revenue_growth,psr,price_location,blocks,notes,entry_price,last_price,return_to_latest,six_month_return,six_month_status,max_gain_to_latest,max_drawdown_to_latest
2026-07,month_start,2026-07-01,1,4615.T,神東塗料,化学,Watch (Blocked: 赤字率悪化),80,3.5,0.2,0.256,赤字率悪化,2期連続赤字/赤字率軽微 (>-3%)/赤字率悪化中,127.0,132.0,3.9,,not matured,5.5,0.0
2026-07,month_start,2026-07-01,2,7267.T,本田技研工業,輸送用機器,Watch (Wait for 2nd yr?),50,8.9,0.99,0.469,,営業赤字/売上維持/純利益悪化/赤字下の投資/資産増,1472.5,1610.5,9.4,,not matured,19.0,0.0
2026-07,month_start,2026-07-01,3,3953.T,大村紙業,パルプ・紙,Watch (Wait for 2nd yr?),50,3.5,0.444,0.477,,売上維持/PSR低位/純利益悪化,747.0,791.0,5.9,,not matured,9.0,0.0
2026-07,month_start,2026-07-01,4,7215.T,ファルテック,輸送用機器,Watch (Wait for 2nd yr?),50,-7.5,0.053,0.406,,PSR低位/純利益悪化/赤字下の投資,415.0,423.0,1.9,,not matured,8.9,-1.7
2026-07,month_start,2026-07-01,5,5304.T,ＳＥＣカーボン,ガラス・土石製品,Watch (Wait for 2nd yr?),50,-19.5,1.876,0.456,,純利益悪化/資産増,2417.0,2549.0,5.5,,not matured,14.4,-0.4
2026-07,month_start,2026-07-01,6,3600.T,フジックス,繊維製品,Watch (Wait for 2nd yr?),50,-2.7,0.414,0.751,,営業赤字/PSR低位/高値圏・押し目待ち/純利益悪化/資産増,1716.0,1720.0,0.2,,not matured,4.5,-0.9
2026-07,month_start,2026-07-01,7,4934.T,プレミアアンチエイジング,化学,Check Trend,30,,,0.073,,底値圏/赤字下の投資,620.0,596.0,-3.9,,not matured,2.3,-4.7
2026-07,month_start,2026-07-01,8,5380.T,新東,ガラス・土石製品,Check Trend,30,,,0.026,,底値圏,1104.0,1355.0,22.7,,not matured,22.7,-8.0
2026-07,month_start,2026-07-01,9,5612.T,日本鋳鉄管,鉄鋼,Check Trend,30,,,0.32,,赤字下の投資/資産増,1544.0,1592.0,3.1,,not matured,7.3,-1.6
2026-07,month_start,2026-07-01,10,3529.T,アツギ,繊維製品,Check Trend,30,,,0.448,,赤字下の投資,1019.0,993.0,-2.6,,not matured,13.4,-3.6
2026-08,month_start,2026-08-01,1,5612.T,日本鋳鉄管,鉄鋼,確認（回復継続）,20,-5.9,0.32,0.339,,前期赤字から回復確認,1560.0,1592.0,2.1,,not matured,6.2,-0.1
2026-08,month_start,2026-08-01,2,3953.T,大村紙業,パルプ・紙,確認（回復継続）,10,0.2,0.478,0.67,,前期赤字から回復確認,788.0,791.0,0.4,,not matured,2.7,-0.9
2026-09,month_start,2026-09-01,1,5612.T,日本鋳鉄管,鉄鋼,確認（回復継続）,20,-5.9,0.333,0.377,,前期赤字から回復確認,1630.0,1592.0,-2.3,,not matured,0.0,-2.3
2026-09,month_start,2026-09-01,2,3953.T,大村紙業,パルプ・紙,確認（回復継続）,10,0.2,0.477,0.528,,前期赤字から回復確認,795.0,791.0,-0.5,,not matured,0.6,-0.5
2026-09,latest,2026-09-08,1,4929.T,アジュバンホールディングス,化学,パス,0,-6.9,1.552,0.126,,黒字または赤字反転条件外,739.0,739.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,2,7271.T,安永,輸送用機器,パス,0,7.9,0.249,0.458,,黒字または赤字反転条件外,803.0,803.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,3,5721.T,エスクリプトエナジー,非鉄金属,パス,0,,,0.094,,黒字または赤字反転条件外,55.0,55.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,4,4935.T,リベルタ,化学,パス,0,,,0.078,,黒字または赤字反転条件外,202.0,202.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,5,5194.T,相模ゴム工業,ゴム製品,パス,0,,,0.083,,黒字または赤字反転条件外,640.0,640.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,6,1491.T,中外鉱業,非鉄金属,パス,0,,,0.141,,黒字または赤字反転条件外,715.0,715.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,7,3591.T,ワコールホールディングス,繊維製品,パス,0,,,0.084,,黒字または赤字反転条件外,4072.0,4072.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,8,3111.T,オーミケンシ,繊維製品,パス,0,,,0.144,,黒字または赤字反転条件外,177.0,177.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,9,5341.T,ＡＳＡＨＩ　ＥＩＴＯホールディングス,ガラス・土石製品,パス,0,,,0.005,,黒字または赤字反転条件外,146.0,146.0,0.0,,not matured,0.0,0.0
2026-09,latest,2026-09-08,10,4934.T,プレミアアンチエイジング,化学,パス,0,,,0.042,,黒字または赤字反転条件外,596.0,596.0,0.0,,not matured,0.0,0.0
